id,device_id,product_name,product_sku,category_name,amount,status,card_number,cvv,created_at,happened_at
13.0,69.0,"dapibus rutrum,",3770009015233.0,Maecenas,148.0,cancelled,214942256866424.0,763.0,2022-10-01 05:18:14,2022-11-21 10:00:53
14.0,33.0,lobortis quam,3770009015052.0,quam,405.0,cancelled,5513568664743446,141.0,2022-12-05 05:31:07,2022-12-30 06:59:28
15.0,141.0,sed dolor.,3770009015052.0,"ornare,",748.0,accepted,302314358848169.0,238.0,2023-02-15 03:02:02,2023-01-18 11:09:04
16.0,81.0,felis ullamcorper,3770009015233.0,adipiscing,509.0,cancelled,2149 766434 95448,589.0,2023-01-06 07:59:02,2021-10-25 11:49:45
17.0,62.0,amet ante.,3770009015047.0,sit,884.0,refused,201413894286321.0,907.0,2023-02-03 06:27:21,2022-02-16 04:36:32
18.0,160.0,vitae nibh.,3770009015235.0,ultrices,707.0,cancelled,519 33246 38784 745,825.0,2022-10-12 08:17:13,2022-09-25 07:31:09
19.0,196.0,Vestibulum ut,3770009015075.0,Cras,571.0,cancelled,417500 7864623941,575.0,2022-10-15 12:31:41,2022-10-25 02:02:21
20.0,128.0,tristique senectus,3770009015048.0,lorem,547.0,cancelled,305628522272734.0,944.0,2023-02-22 01:09:25,2022-03-20 07:32:39
21.0,186.0,ullamcorper magna.,3770009015052.0,semper,883.0,accepted,677 12765 73384 289,621.0,2022-11-28 05:03:56,2022-07-03 12:05:35
22.0,138.0,"ultricies ornare,",3770009015051.0,In,329.0,accepted,633476 273252 4733,894.0,2023-01-02 05:59:03,2022-09-21 04:01:37
23.0,82.0,amet ultricies,3770009015074.0,Morbi,660.0,accepted,2149 744942 47596,681.0,2022-12-12 04:48:34,2021-11-18 04:47:59
24.0,151.0,faucibus. Morbi,3770009015172.0,mauris,794.0,refused,342568624727125.0,847.0,2022-12-08 07:32:33,2022-07-30 12:24:58
25.0,111.0,"nec, mollis",3770009015233.0,Mauris,861.0,refused,565224 883374 9522,419.0,2022-11-23 06:35:26,2022-03-05 12:30:01
26.0,32.0,est ac,v3770009015028,risus.,736.0,refused,300362885667380.0,375.0,2022-10-21 01:05:03,2022-04-30 08:39:10
27.0,75.0,augue ut,3770009015052.0,eros,490.0,accepted,633482885596497547,600.0,2023-01-07 09:37:23,2022-06-09 12:35:07
28.0,157.0,"fermentum vel,",3770009015235.0,turpis,864.0,cancelled,214931948183850.0,313.0,2023-01-28 06:12:27,2022-04-08 05:41:00
29.0,19.0,lorem semper,3770009015073.0,luctus,807.0,refused,453971 221221 9125,835.0,2022-11-08 10:03:16,2022-01-22 07:52:47
30.0,149.0,"lorem lorem,",3770009015074.0,luctus,517.0,refused,6761 664383 1783,534.0,2022-10-18 12:35:58,2022-04-12 07:38:12
31.0,157.0,"vel, venenatis",3770009015049.0,massa.,845.0,accepted,644 98492 28573 811,912.0,2023-01-31 04:22:55,2022-07-18 04:03:22
32.0,5.0,"aliquam, enim",3770009015052.0,Proin,436.0,refused,3681 762847 27267,128.0,2023-01-25 08:50:07,2022-06-07 01:24:47
33.0,15.0,consectetuer adipiscing,3770009015172.0,tortor.,344.0,cancelled,201412564652382.0,209.0,2022-12-05 12:30:10,2021-12-13 09:59:26
34.0,74.0,amet ante.,3770009015044.0,lectus,178.0,accepted,6486 6376 2537 4758,114.0,2022-10-10 02:03:58,2022-06-21 06:52:12
35.0,165.0,"eu, euismod",3770009015048.0,adipiscing,733.0,accepted,3449 786695 53260,426.0,2022-10-21 05:04:15,2021-11-23 02:09:01
36.0,69.0,"euismod in,",3770009015044.0,et,173.0,cancelled,2149 834255 46661,901.0,2022-12-10 11:18:48,2022-11-14 09:08:45
37.0,180.0,"convallis in,",3770009015048.0,Aliquam,1.0,accepted,301845324718219.0,654.0,2022-12-23 07:05:37,2021-11-21 05:00:31
38.0,187.0,Vestibulum accumsan,3770009015043.0,non,428.0,refused,6334775764854268866,488.0,2023-01-01 10:09:53,2022-08-13 07:30:19
39.0,94.0,posuere cubilia,3770009015050.0,amet,903.0,accepted,3466 977225 58433,781.0,2022-12-07 08:17:39,2022-02-23 07:10:37
40.0,144.0,tincidunt. Donec,v3770009015028,Nullam,41.0,refused,303986238127481.0,449.0,2022-11-07 02:29:51,2022-04-04 07:14:54
41.0,115.0,litora torquent,3770009015233.0,non,433.0,refused,4905377867621644472,874.0,2023-01-18 04:57:17,2022-08-31 01:14:21
42.0,175.0,Aliquam gravida,v3770009015028,adipiscing,875.0,refused,2149 764432 55554,311.0,2023-02-09 04:06:24,2022-09-05 07:42:12
43.0,196.0,"adipiscing, enim",3770009015075.0,pellentesque,78.0,accepted,5528 2444 5815 7796,938.0,2022-10-19 01:29:29,2022-02-13 01:25:34
44.0,44.0,commodo ipsum.,3770009015074.0,convallis,640.0,refused,3693 645798 88932,759.0,2022-11-05 11:43:58,2022-05-21 03:46:55
45.0,140.0,"aliquet, sem",3770009015048.0,"eget,",576.0,cancelled,4024007183932.0,975.0,2022-10-13 05:25:29,2023-01-07 03:29:39
46.0,138.0,lobortis augue,3770009015050.0,ut,582.0,refused,5254 4857 3638 5879,407.0,2023-02-08 11:27:02,2022-03-19 08:41:43
47.0,9.0,lorem ac,3770009015075.0,consequat,178.0,cancelled,630412 333637 6838,636.0,2022-10-30 03:13:46,2022-07-22 09:37:46
48.0,55.0,est. Mauris,3770009015044.0,urna,163.0,accepted,455 64559 19286 553,223.0,2022-10-15 06:01:07,2021-11-14 01:52:39
49.0,171.0,aptent taciti,3770009015043.0,dictum,449.0,cancelled,647666 8866658593,120.0,2022-12-18 09:28:32,2022-03-09 03:57:18
50.0,60.0,"a, aliquet",3770009015234.0,enim.,948.0,refused,4663 6783 7785 9468,378.0,2022-11-23 03:24:09,2022-03-10 09:47:21
51.0,162.0,pede. Cum,3770009015073.0,"imperdiet,",709.0,cancelled,4903884779361835569,505.0,2023-01-16 06:57:30,2023-02-17 01:23:39
52.0,57.0,vel arcu.,3770009015075.0,Donec,441.0,cancelled,6759 8333 2616 8173,649.0,2022-11-28 11:15:04,2021-12-23 07:59:52
53.0,164.0,pharetra. Quisque,3770009015051.0,nunc,644.0,refused,526744 8755821385,843.0,2022-11-04 01:41:26,2022-03-14 04:24:28
54.0,93.0,sed dui.,3770009015075.0,Nullam,762.0,accepted,630439492233823860,173.0,2023-01-26 06:43:46,2022-08-26 01:20:46
55.0,139.0,"sit amet,",3770009015233.0,ac,243.0,refused,3698 484154 59577,300.0,2023-02-10 07:14:25,2023-02-21 07:19:09
56.0,92.0,"ut, sem.",3770009015044.0,semper,500.0,cancelled,6476287642887432,523.0,2022-11-16 11:00:49,2022-06-27 06:33:21
57.0,151.0,velit in,3770009015047.0,"id,",640.0,refused,670677 166736 7216,655.0,2022-10-31 08:53:33,2022-12-09 12:50:09
58.0,106.0,arcu ac,3770009015052.0,"vitae,",790.0,cancelled,670946361369427535,821.0,2022-10-01 02:15:27,2022-10-08 09:00:16
59.0,191.0,non arcu.,3770009015051.0,sem.,473.0,refused,3422 267645 54722,253.0,2023-01-03 12:29:53,2022-05-17 09:58:42
60.0,51.0,"eu, ultrices",3770009015048.0,viverra.,811.0,cancelled,402400 712737 4772,806.0,2022-10-14 10:05:13,2022-08-24 03:19:50
61.0,147.0,dolor. Fusce,3770009015051.0,"dui,",14.0,cancelled,3662 544523 84823,807.0,2023-01-06 09:15:28,2022-11-25 07:53:03
62.0,34.0,amet diam,3770009015235.0,Nulla,427.0,cancelled,3049 131331 56521,400.0,2023-01-02 03:08:00,2022-10-27 01:43:23
63.0,146.0,velit eget,3770009015050.0,sodales,258.0,cancelled,302635864575676.0,336.0,2022-12-12 09:02:10,2022-07-30 11:23:16
64.0,38.0,Lorem ipsum,3770009015004.0,magna,836.0,refused,3023 132846 94283,144.0,2023-01-05 06:11:51,2023-01-12 10:26:20
65.0,96.0,nec enim.,3770009015042.0,"tincidunt,",78.0,cancelled,367381385724954.0,308.0,2022-11-01 06:27:03,2023-01-06 10:29:28
66.0,59.0,gravida nunc,v3770009015028,vulputate,687.0,refused,558278 7839883590,252.0,2022-10-22 09:02:27,2022-05-20 07:42:29
67.0,44.0,"parturient montes,",3770009015050.0,ridiculus,379.0,cancelled,6304732423567638973,508.0,2023-01-22 09:27:39,2022-02-25 09:12:27
68.0,105.0,libero. Integer,3770009015044.0,"orci,",161.0,cancelled,644745 8324594853,743.0,2022-10-20 02:08:47,2022-02-26 09:51:26
69.0,183.0,nibh. Phasellus,3770009015049.0,a,437.0,accepted,346322746366883.0,716.0,2022-11-17 12:33:56,2021-12-16 10:38:32
70.0,88.0,egestas lacinia.,3770009015051.0,dolor,535.0,cancelled,630462 68 7659 3435 418,115.0,2023-02-09 07:36:56,2021-11-18 12:56:05
71.0,154.0,per inceptos,3770009015045.0,Nunc,306.0,cancelled,402400 7136418933,803.0,2022-10-15 02:34:32,2022-09-28 07:38:29
72.0,108.0,"sed, facilisis",3770009015004.0,lorem,983.0,accepted,5641 8238 4855 6627,545.0,2023-02-27 11:14:10,2022-11-22 12:06:17
73.0,127.0,ridiculus mus.,3770009015042.0,Nunc,836.0,cancelled,3476 578657 82371,587.0,2023-02-07 02:37:05,2022-12-15 07:34:09
74.0,82.0,"elit pede,",3770009015042.0,luctus,707.0,refused,3005 383853 34486,834.0,2022-12-23 10:34:37,2021-12-15 08:42:24
75.0,71.0,metus. Aliquam,3770009015043.0,erat,559.0,cancelled,4485431566757929,902.0,2023-01-24 07:41:25,2022-08-05 03:07:23
76.0,148.0,"diam nunc,",3770009015043.0,"a,",32.0,refused,3772 845944 91324,287.0,2022-10-30 08:48:57,2022-10-11 07:45:59
77.0,35.0,Vivamus nibh,3770009015052.0,ac,768.0,refused,484 49777 81957 526,551.0,2023-01-14 10:07:57,2022-03-11 04:32:54
78.0,17.0,sodales nisi,3770009015234.0,"vel,",12.0,cancelled,361978614389222.0,220.0,2022-11-10 03:07:09,2022-07-11 08:20:32
79.0,71.0,"convallis, ante",3770009015235.0,eleifend,467.0,accepted,369544576558196.0,878.0,2022-12-13 09:34:29,2022-06-16 11:44:59
80.0,146.0,vehicula risus.,3770009015051.0,in,872.0,refused,5818 134568 7735,628.0,2022-12-20 10:03:19,2022-03-22 12:09:15
81.0,195.0,"dapibus id,",3770009015172.0,Donec,9.0,accepted,4844413449854251,369.0,2022-12-16 07:45:39,2023-01-21 06:37:02
82.0,98.0,Curae Phasellus,3770009015042.0,feugiat.,986.0,refused,304634696291725.0,809.0,2023-02-20 05:50:28,2022-02-24 07:38:57
83.0,113.0,Vestibulum ante,3770009015234.0,nonummy.,808.0,cancelled,301294215473941.0,296.0,2022-12-07 05:38:19,2023-02-15 04:16:08
84.0,140.0,"eleifend vitae,",3770009015073.0,malesuada,372.0,cancelled,214968328474590.0,311.0,2022-10-04 04:11:39,2022-10-08 05:02:18
85.0,26.0,mauris a,3770009015051.0,elementum,595.0,cancelled,645858 126483 3357,736.0,2023-01-25 08:48:29,2022-09-26 06:49:44
86.0,183.0,"faucibus ut,",3770009015043.0,adipiscing,549.0,accepted,365654588745717.0,544.0,2022-11-29 07:30:01,2023-02-10 06:19:57
87.0,166.0,faucibus. Morbi,3770009015074.0,"vitae,",649.0,cancelled,5629496418761.0,634.0,2022-12-21 07:15:00,2022-10-10 06:23:01
88.0,83.0,nunc interdum,v3770009015028,mollis.,401.0,refused,4929537756777.0,811.0,2022-11-25 06:38:57,2022-05-19 06:17:19
89.0,133.0,"ultricies ornare,",3770009015044.0,Phasellus,723.0,refused,675914525457859950,881.0,2022-12-30 06:19:02,2023-02-13 08:26:58
90.0,116.0,rutrum lorem,3770009015234.0,a,256.0,cancelled,6706252828686969768,794.0,2022-11-22 03:20:19,2021-11-03 06:56:54
91.0,85.0,laoreet ipsum.,3770009015046.0,et,541.0,accepted,3013 514373 55551,326.0,2022-11-16 11:10:08,2021-12-24 01:24:43
92.0,148.0,at pede.,3770009015046.0,facilisis,127.0,cancelled,67094244497477469,821.0,2022-11-29 04:01:44,2021-10-31 08:40:51
93.0,192.0,"ac, feugiat",3770009015004.0,nec,479.0,cancelled,6333763421476319,345.0,2023-01-08 02:23:41,2022-04-21 12:08:23
94.0,25.0,egestas. Aliquam,3770009015049.0,Cras,516.0,accepted,369568296625696.0,552.0,2023-02-07 01:17:43,2022-02-16 09:55:44
95.0,13.0,rhoncus. Nullam,3770009015235.0,ultrices,44.0,refused,676745 645667 2879,425.0,2022-11-12 01:27:12,2022-05-03 02:13:10
96.0,79.0,leo. Morbi,3770009015004.0,eget,103.0,refused,5642 353233 6953,428.0,2023-02-26 04:35:20,2022-11-17 04:38:15
97.0,26.0,ante dictum,3770009015049.0,luctus,72.0,cancelled,501863332315666728,887.0,2022-11-22 08:16:14,2022-03-01 12:40:06
98.0,9.0,eu neque,3770009015052.0,"montes,",216.0,refused,300891634887840.0,600.0,2022-11-09 01:29:00,2022-07-07 07:12:50
99.0,143.0,ornare egestas,3770009015050.0,tempus,132.0,cancelled,3617 752584 94213,159.0,2022-11-04 01:15:34,2021-11-17 02:10:53
100.0,185.0,"a, malesuada",3770009015233.0,"pede,",544.0,refused,201455555566632.0,524.0,2023-02-11 09:13:16,2022-08-21 01:15:20
101.0,86.0,Cum sociis,3770009015233.0,in,570.0,cancelled,5768363299716127619,531.0,2022-10-08 07:41:01,2022-09-03 11:12:32
102.0,19.0,cursus vestibulum.,3770009015172.0,magna.,243.0,cancelled,402 63467 59174 870,892.0,2023-02-18 07:10:47,2023-02-08 08:05:48
103.0,44.0,ullamcorper viverra.,3770009015073.0,tellus.,463.0,cancelled,6334257841325569,908.0,2022-10-19 01:41:33,2022-08-21 09:04:07
104.0,119.0,rutrum. Fusce,3770009015049.0,bibendum.,66.0,accepted,3011 471636 63527,720.0,2023-02-11 09:07:08,2022-10-12 06:28:03
105.0,17.0,Quisque varius.,3770009015073.0,eget,749.0,refused,484453 6539254295,754.0,2022-11-21 06:00:00,2022-10-05 07:38:02
106.0,48.0,lacus. Mauris,3770009015235.0,nisi,74.0,refused,3016 495239 38978,575.0,2022-11-14 03:05:07,2022-01-19 07:45:35
107.0,58.0,urna justo,3770009015075.0,dignissim,898.0,accepted,484 48466 84828 979,335.0,2023-02-18 04:12:45,2021-12-13 02:05:12
108.0,128.0,enim nec,3770009015075.0,Integer,303.0,cancelled,6706528356736858789,628.0,2023-01-04 08:15:20,2022-06-07 01:47:27
109.0,102.0,amet orci.,3770009015172.0,lectus,579.0,refused,491162 965559 2677,973.0,2023-01-25 11:09:08,2022-06-26 05:45:20
110.0,174.0,"varius orci,",3770009015046.0,a,608.0,refused,670983 65 5436 5583 717,899.0,2022-12-05 01:24:44,2022-02-06 06:21:24
111.0,140.0,gravida. Praesent,3770009015044.0,dis,694.0,accepted,5018 763231 56671,435.0,2023-01-28 08:07:00,2023-01-19 06:24:18
112.0,62.0,elit elit,3770009015234.0,"ut,",782.0,accepted,516424 5635465332,554.0,2022-12-06 05:24:59,2021-10-22 06:25:22
113.0,10.0,arcu et,3770009015051.0,cubilia,181.0,accepted,417500 938545 6785,372.0,2022-11-03 10:30:59,2022-06-26 02:39:57
114.0,121.0,aliquam arcu.,3770009015045.0,neque,426.0,accepted,6011177664655779,240.0,2022-11-06 03:00:52,2022-08-24 05:41:24
115.0,43.0,nulla. Cras,v3770009015028,Donec,737.0,refused,491138 67 5474 3882 718,974.0,2022-11-16 03:07:34,2021-11-13 09:29:55
116.0,130.0,adipiscing ligula.,3770009015042.0,tortor,287.0,cancelled,4929585938845144,670.0,2023-01-23 10:26:45,2022-09-15 01:59:42
117.0,194.0,Quisque ac,3770009015050.0,mauris,732.0,refused,305225366255386.0,889.0,2023-01-24 12:20:31,2023-02-07 01:00:50
118.0,167.0,Ut sagittis,3770009015044.0,porttitor,495.0,cancelled,201426886974241.0,812.0,2022-12-24 11:46:38,2021-11-30 10:19:52
119.0,186.0,urna convallis,3770009015046.0,Praesent,39.0,accepted,4481 222 54 8978,532.0,2023-01-20 01:50:15,2022-09-11 08:08:20
120.0,34.0,malesuada fames,3770009015004.0,gravida,597.0,accepted,345789232692454.0,129.0,2022-10-07 12:49:28,2022-01-07 10:45:08
121.0,171.0,"varius ultrices,",3770009015049.0,Suspendisse,351.0,accepted,677162 6266767515,189.0,2022-12-08 07:08:47,2023-01-01 06:21:52
122.0,46.0,Vestibulum accumsan,v3770009015028,nulla,313.0,refused,3058 997266 14662,852.0,2022-10-21 09:52:12,2022-01-27 07:05:47
123.0,156.0,"faucibus leo,",3770009015075.0,aliquet.,931.0,refused,581872348255.0,921.0,2022-10-22 09:33:25,2022-09-27 06:03:51
124.0,131.0,turpis non,3770009015046.0,metus.,308.0,accepted,4903187897135812542,364.0,2022-12-11 09:31:00,2021-10-15 01:39:36
125.0,176.0,Nam tempor,3770009015050.0,Ut,473.0,refused,368234426515866.0,200.0,2023-01-06 01:53:40,2022-12-30 08:26:04
126.0,44.0,arcu. Morbi,3770009015049.0,amet,614.0,accepted,633498 9717695747,899.0,2022-11-17 04:10:26,2022-12-30 09:30:08
127.0,41.0,ligula. Donec,3770009015172.0,Aenean,740.0,cancelled,633 48477 47988 476,952.0,2023-01-02 06:54:35,2023-02-17 02:37:45
128.0,165.0,metus. In,3770009015050.0,erat,347.0,accepted,6709 5892 8796 2472,386.0,2022-12-15 11:10:35,2021-12-08 06:00:54
129.0,96.0,cursus. Nunc,3770009015042.0,ante,95.0,refused,3632 671652 63475,514.0,2022-11-13 07:32:21,2021-10-04 09:02:13
130.0,134.0,tortor nibh,3770009015043.0,sed,705.0,accepted,4716 6325 5968 2757,284.0,2022-11-22 01:50:12,2022-04-24 12:50:51
131.0,33.0,risus. Nulla,3770009015004.0,sed,157.0,accepted,3022 686984 49122,873.0,2023-02-26 12:48:59,2021-12-11 02:55:04
132.0,194.0,vitae semper,3770009015073.0,litora,179.0,accepted,6709931247439540.0,792.0,2022-12-03 07:30:14,2022-05-04 09:48:40
133.0,160.0,ridiculus mus.,3770009015042.0,mi.,764.0,refused,5425 9364 1784 8340,929.0,2022-12-13 11:41:53,2021-11-09 01:29:20
134.0,146.0,neque vitae,3770009015235.0,fames,135.0,cancelled,3663 867882 84689,606.0,2023-02-24 02:13:47,2022-05-05 09:58:39
135.0,7.0,"et, lacinia",3770009015044.0,felis,152.0,cancelled,484 43165 82596 466,695.0,2022-10-15 05:25:57,2022-05-30 09:56:39
136.0,138.0,Etiam vestibulum,3770009015050.0,urna,852.0,cancelled,646525 3746236374,539.0,2022-10-21 04:11:07,2021-12-11 03:22:30
137.0,82.0,libero. Proin,3770009015052.0,malesuada,250.0,refused,633413 6555393650,297.0,2022-12-11 06:12:09,2022-10-16 08:48:44
138.0,59.0,sagittis lobortis,3770009015049.0,fermentum,914.0,cancelled,4917716766743952,399.0,2023-01-06 08:30:11,2022-08-26 04:10:27
139.0,25.0,nunc sed,3770009015235.0,pharetra.,52.0,cancelled,3459 887335 25334,697.0,2023-02-24 04:13:33,2023-01-23 02:17:50
140.0,148.0,Curabitur dictum.,3770009015048.0,malesuada,266.0,refused,655 13412 55776 131,837.0,2022-12-02 03:25:56,2022-06-06 11:33:35
141.0,89.0,augue ut,3770009015042.0,congue,544.0,accepted,3731 239322 52572,144.0,2022-10-14 03:56:11,2022-10-28 04:30:23
142.0,97.0,arcu iaculis,3770009015233.0,ipsum,382.0,cancelled,654 65575 42857 560,622.0,2023-02-07 07:16:16,2022-12-25 12:57:22
143.0,147.0,"non, feugiat",v3770009015028,convallis,929.0,refused,402400 717384 4652,548.0,2023-01-23 07:13:32,2022-08-14 05:50:44
144.0,175.0,lacus. Nulla,3770009015234.0,sit,301.0,accepted,300454623217675.0,767.0,2023-02-17 09:17:48,2023-02-03 06:44:57
145.0,197.0,leo. Morbi,3770009015051.0,"lorem,",187.0,accepted,532442 4369787289,525.0,2023-01-23 10:26:29,2022-11-03 03:41:56
146.0,178.0,"dui, nec",3770009015074.0,et,557.0,refused,3444 565544 32767,769.0,2023-02-12 09:06:14,2022-07-11 07:04:33
147.0,192.0,natoque penatibus,3770009015050.0,interdum,907.0,cancelled,648438 585858 6191,957.0,2023-02-02 07:20:26,2021-12-25 07:46:06
148.0,61.0,In lorem.,3770009015004.0,Sed,983.0,cancelled,2149 233857 72766,693.0,2022-12-02 05:41:20,2021-12-24 03:40:41
149.0,191.0,inceptos hymenaeos.,3770009015075.0,quis,380.0,accepted,532 79148 38352 969,719.0,2022-12-24 02:05:54,2022-07-03 07:15:25
150.0,104.0,dui lectus,3770009015234.0,interdum.,30.0,cancelled,676128 151428 6231,129.0,2022-11-16 09:48:07,2021-12-08 10:53:48
151.0,39.0,"ac, feugiat",3770009015073.0,nascetur,295.0,refused,345559928458795.0,553.0,2022-12-30 10:57:14,2022-09-13 10:55:45
152.0,132.0,diam at,3770009015047.0,"ullamcorper,",404.0,accepted,6771884946735181332,682.0,2022-10-27 05:03:49,2023-02-02 09:00:59
153.0,183.0,ipsum non,3770009015004.0,lorem,808.0,refused,490552 3748645527,993.0,2022-12-28 03:07:15,2022-05-01 03:18:05
154.0,131.0,malesuada fames,3770009015044.0,Proin,17.0,accepted,5018 7876 4415 1450,407.0,2023-01-05 09:35:53,2021-10-02 04:31:53
155.0,119.0,Donec felis,3770009015075.0,leo.,430.0,refused,675993 7767357615,172.0,2023-02-27 04:05:43,2022-08-10 08:12:20
156.0,167.0,"lectus, a",3770009015234.0,Lorem,55.0,refused,303618532583826.0,296.0,2022-11-11 01:04:25,2022-11-09 07:39:42
157.0,36.0,volutpat. Nulla,3770009015048.0,ornare,262.0,accepted,6767869674262564,461.0,2022-12-15 08:27:50,2023-01-01 05:53:15
158.0,50.0,Maecenas ornare,3770009015043.0,Proin,380.0,refused,361126343838818.0,486.0,2023-02-06 09:54:01,2021-11-15 05:11:30
159.0,63.0,Donec fringilla.,3770009015233.0,amet,686.0,accepted,301135842679543.0,478.0,2022-10-23 06:01:59,2022-09-11 02:45:36
160.0,150.0,In condimentum.,3770009015074.0,orci.,148.0,refused,6762 158 93 2157,428.0,2022-12-03 03:04:28,2022-05-06 10:31:54
161.0,154.0,dui nec,v3770009015028,ac,460.0,accepted,4917734762854426,819.0,2022-11-13 12:58:33,2023-02-28 09:02:26
162.0,124.0,"nec, euismod",3770009015045.0,ac,388.0,refused,3023 236287 52770,139.0,2022-11-18 08:43:44,2022-12-24 10:43:18
163.0,140.0,lacinia mattis.,3770009015233.0,arcu.,109.0,refused,6456855394273268,998.0,2022-12-31 04:56:38,2022-11-27 10:54:58
164.0,82.0,Aenean euismod,3770009015051.0,vulputate,951.0,accepted,630428336682775316,824.0,2022-12-19 02:24:53,2022-06-09 11:52:23
165.0,84.0,mauris sagittis,3770009015051.0,nec,780.0,refused,5245938358535231,247.0,2022-12-31 02:31:12,2022-02-28 09:16:59
166.0,123.0,ut odio,3770009015050.0,"aliquam,",589.0,cancelled,676223 7787244389,143.0,2022-12-08 12:43:38,2021-12-13 02:36:02
167.0,107.0,natoque penatibus,3770009015046.0,molestie.,329.0,accepted,300357966896916.0,688.0,2023-03-01 01:23:01,2023-01-12 03:33:30
168.0,187.0,ornare. In,3770009015049.0,Sed,39.0,cancelled,633422 77 4679 2474 353,515.0,2022-11-21 06:08:41,2022-08-01 12:43:44
169.0,25.0,In condimentum.,3770009015049.0,ac,622.0,cancelled,670947 19 3762 3898 482,535.0,2023-01-27 03:33:27,2022-07-10 05:28:08
170.0,24.0,justo. Proin,3770009015052.0,Duis,64.0,accepted,491757 768479 9793,572.0,2023-03-01 02:25:41,2022-12-26 03:26:44
171.0,138.0,erat semper,3770009015075.0,accumsan,125.0,accepted,491 38467 66366 571,831.0,2023-01-20 02:29:39,2021-12-07 05:35:49
172.0,134.0,Nunc lectus,3770009015004.0,diam.,145.0,refused,503865277383558352,692.0,2023-01-11 12:01:53,2022-03-13 10:22:23
173.0,44.0,Aliquam nisl.,3770009015233.0,neque,709.0,cancelled,4532673453835.0,487.0,2023-01-10 11:10:46,2022-03-15 05:59:46
174.0,28.0,dignissim magna,3770009015050.0,ullamcorper.,936.0,cancelled,3055 969129 82248,161.0,2023-01-17 09:54:10,2022-12-17 04:35:06
175.0,31.0,convallis ligula.,v3770009015028,augue,495.0,cancelled,675933 653756 6318,274.0,2022-12-23 05:19:12,2022-09-19 07:57:24
176.0,82.0,"a, arcu.",3770009015233.0,ac,510.0,refused,677162554327373864,899.0,2022-11-16 12:17:43,2022-03-24 11:34:20
177.0,137.0,sit amet,3770009015075.0,malesuada,754.0,refused,342736518345359.0,218.0,2022-11-06 03:09:37,2022-09-17 02:19:06
178.0,87.0,"sem, consequat",3770009015047.0,fringilla.,369.0,cancelled,67616767593763.0,473.0,2022-12-17 05:28:48,2022-12-21 05:34:54
179.0,102.0,natoque penatibus,3770009015044.0,"et,",414.0,cancelled,6767 7457 6668 4289,714.0,2022-10-03 04:55:39,2022-12-27 08:08:14
180.0,152.0,"dictum eleifend,",3770009015045.0,"a,",827.0,refused,4913 7836 7286 6651,149.0,2023-02-25 02:56:54,2022-11-23 10:11:18
181.0,163.0,pede. Praesent,3770009015075.0,Sed,722.0,refused,670972 3415673566,425.0,2023-01-17 03:38:39,2022-02-18 11:47:21
182.0,21.0,euismod est,3770009015052.0,"dui,",823.0,accepted,2149 287955 97620,867.0,2022-11-08 05:46:23,2023-02-16 04:13:42
183.0,62.0,Integer id,3770009015075.0,aliquet.,588.0,cancelled,633 46233 12248 426,766.0,2022-11-27 03:00:21,2022-05-01 05:40:53
184.0,7.0,eros turpis,3770009015046.0,"vestibulum,",207.0,cancelled,364414561576550.0,717.0,2023-01-26 03:30:50,2022-02-08 08:44:06
185.0,78.0,sagittis lobortis,3770009015172.0,Donec,885.0,accepted,3627 185528 83623,577.0,2023-02-07 09:54:50,2022-07-20 10:58:37
186.0,42.0,torquent per,3770009015049.0,volutpat.,984.0,refused,448542 4452692359,306.0,2023-01-30 07:33:22,2022-05-14 11:41:05
